178;<4. 1. 3>;0;148;2650;3056;3218;9041;
179;<5. 10. 3>;0;744;2777;5046;9391;
180;<2. 8. 1>;0;367;4364;4515;8603;9816;
181;<2. 4. 4>;0;1938;4799;6105;
182;<6. 1. 9>;0;5752;5779;6666;6965;6998;8210;9244;9767;
183;<1. 8. 9>;0;1501;4864;
184;<4. 4. 2>;0;2449;2850;3132;3290;5966;6131;7346;7432;
185;<2. 4. 1>;0;960;1519;2223;5703;6482;6853;7145;7529;8070;8598;9188;9570;9619;
186;<7. 10. 3>;1;1589;1965;2300;8105;8982;9744;
187;<10. 5. 2>;0;1167;1518;2187;2700;2733;2957;5565;6699;7471;
188;<10. 2. 8>;2;1732;2627;3466;4576;6337;7349;7674;9970;
189;<1. 3. 7>;0;334;1229;2164;2969;3853;5066;7519;7694;8740;
190;<7. 9. 10>;4;831;2206;2225;6546;9427;9694;9935;
